career_name,career_occ_code,career_2012_emp,career_2022_emp,career_num_emp_change,career_percent_emp_change,career_percent_self_emp,career_job_openings,career_med_ann_wage,career_edu,career_work_exp,career_job_training
"Makeup artists, theatrical and performance",39-5091,2.7,2.8,0.1,3.1,27,0.3,64450,Postsecondary non-degree award,None,None
Team assemblers,51-2092,1031.8,1081.3,49.5,4.8,1.6,212.6,27640,High school diploma or equivalent,None,Moderate-term on-the-job training
"Supervisors of farming, fishing, and forestry workers",45-1000,45.9,44.8,-1.1,-2.5,18,9.7,43660,,,
"Computer-controlled machine tool operators, metal and plastic",51-4011,140.3,160.7,20.4,14.5,,59.6,35580,High school diploma or equivalent,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators,51-9151,47.1,47.2,0.1,0.2,4.1,13.9,23120,High school diploma or equivalent,None,Short-term on-the-job training
"Software developers, applications",15-1132,613,752.9,139.9,22.8,1.8,218.5,90060,Bachelor's degree,None,None
"Roustabouts, oil and gas",47-5071,61.1,72.8,11.7,19.2,0.2,27.9,34130,Less than high school,None,Moderate-term on-the-job training
Firefighters,33-2011,307,327.3,20.3,6.6,0.2,104,45250,Postsecondary non-degree award,None,Long-term on-the-job training
Forensic science technicians,19-4092,12.9,13.7,0.7,5.8,,5.8,52840,Bachelor's degree,None,Moderate-term on-the-job training
Civil engineering technicians,17-3022,73.1,73.6,0.4,0.6,0.2,15.6,47560,Associate's degree,None,None
"Educational, guidance, school, and vocational counselors",21-1012,262.3,293.5,31.2,11.9,2.9,87,53610,Master's degree,None,None
"Preschool teachers, except special education",25-2011,438.2,514.6,76.4,17.4,1.9,199.4,27130,Associate's degree,None,None
"Cooks, fast food",35-2011,516.9,514.4,-2.5,-0.5,1.2,101.9,18410,Less than high school,None,Short-term on-the-job training
"Education administrators, preschool and childcare center/program",11-9031,63.8,74.7,10.9,17,8.7,27.8,43950,Bachelor's degree,Less than 5 years,None
"Life, physical, and social science technicians, all other",19-4099,63.9,70.4,6.5,10.1,1.6,31.6,43130,Associate's degree,None,None
Wellhead pumpers,53-7073,16.2,18.6,2.4,14.8,8.8,8,45690,Less than high school,Less than 5 years,Moderate-term on-the-job training
Occupational health and safety specialists and technicians,29-9010,75.5,81.1,5.6,7.4,2,26.1,63200,,,
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,439.2,436.9,-2.3,-0.5,0.4,267.8,18560,Less than high school,None,Short-term on-the-job training
Paralegals and legal assistants,23-2011,277,323.3,46.2,16.7,1.9,91.2,46990,Associate's degree,None,None
Crane and tower operators,53-7021,43.8,51.2,7.4,16.8,0.8,22.4,47290,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Sales engineers,41-9031,66,71.8,5.9,8.9,,17.4,91830,Bachelor's degree,None,Moderate-term on-the-job training
"Engineering and architecture teachers, postsecondary",25-1030,51.7,58,6.3,12.2,,14.1,88800,,,
Security and fire alarm systems installers,49-2098,58,67.2,9.2,15.9,6.2,21,41030,High school diploma or equivalent,None,Moderate-term on-the-job training
"Political science teachers, postsecondary",25-1065,21.1,24.1,3.1,14.6,,6.2,72170,Doctoral or professional degree,None,None
"Education and library science teachers, postsecondary",25-1080,84.9,97.1,12.2,14.4,0.1,25,59810,,,
Prepress technicians and workers,51-5111,42.7,37.2,-5.5,-12.9,3.6,10.9,37260,Postsecondary non-degree award,None,None
First-line supervisors of retail sales workers,41-1011,1603.3,1674.2,70.9,4.4,24.4,419.8,36820,High school diploma or equivalent,Less than 5 years,None
Public address system and other announcers,27-3012,10.7,11.5,0.8,7.6,24.6,3,26230,High school diploma or equivalent,None,Short-term on-the-job training
Air transportation workers,53-2000,220.9,215.3,-5.6,-2.6,0.7,62.5,68210,,,
Software developers and programmers,15-1130,1503.1,1782.6,279.5,18.6,4.5,522,87100,,,
Business operations specialists,13-1000,4432.3,5009.2,576.9,13,5.5,1344.1,62230,,,
"Kindergarten teachers, except special education",25-2012,158.5,179.1,20.6,13,0.4,65.1,50120,Bachelor's degree,None,Internship/residency
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,637.4,700.5,63.1,9.9,3.4,203.3,107950,,,
"Architects, except landscape and naval",17-1011,107.4,126,18.6,17.3,21.9,44.1,73090,Bachelor's degree,None,Internship/residency
Home health aides,31-1011,875.1,1299.3,424.2,48.5,2.2,590.7,20820,Less than high school,None,Short-term on-the-job training
"Dentists, general",29-1021,125.8,146.4,20.6,16.3,25,51.2,145240,Doctoral or professional degree,None,None
"Elementary school teachers, except special education",25-2021,1361.2,1529.1,167.9,12.3,,467.4,53400,Bachelor's degree,None,Internship/residency
Couriers and messengers,43-5021,98.2,87.4,-10.9,-11.1,19.3,12.6,25440,High school diploma or equivalent,None,Short-term on-the-job training
Surveyors,17-1022,42.4,46.8,4.4,10.3,2.7,13.4,56230,Bachelor's degree,Less than 5 years,None
"Control and valve installers and repairers, except mechanical door",49-9012,41,40.8,-0.2,-0.5,,13.8,50960,High school diploma or equivalent,None,Moderate-term on-the-job training
Genetic counselors,29-9092,2.1,3,0.9,41.2,2.7,1.5,56800,Master's degree,None,None
Computer and information research scientists,15-1111,26.7,30.8,4.1,15.3,0.9,8.3,102190,Doctoral or professional degree,None,None
Medical assistants,31-9092,560.8,723.7,162.9,29,0.1,269.9,29370,Postsecondary non-degree award,None,None
Insulation workers,47-2130,52.1,71.7,19.6,37.6,1.6,26.5,35940,,,
Postsecondary teachers,25-1000,1830.9,2134.5,303.5,16.6,0.1,578.7,62390,,,
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,181.8,176.8,-5,-2.7,2.3,51.3,32290,,,
Food preparation and serving related occupations,35-0000,11780.1,12882,1101.8,9.4,0.7,5514.5,18930,,,
Athletic trainers,29-9091,22.9,27.8,4.9,21.2,2.3,11.1,42090,Bachelor's degree,None,None
"Information and record clerks, all other",43-4199,188.9,172.2,-16.7,-8.8,,40.8,37240,High school diploma or equivalent,None,Short-term on-the-job training
"Total, all occupations",00-0000,145355.8,160983.7,15628,10.8,6.5,50557.3,34750,,,
Engine and other machine assemblers,51-2031,42,41.4,-0.6,-1.4,2,6.7,36110,High school diploma or equivalent,None,Short-term on-the-job training
"First-line supervisors of protective service workers, all other",33-1099,69.1,74.7,5.5,8,8.5,21.2,45820,High school diploma or equivalent,Less than 5 years,None
Cashiers,41-2011,3338.9,3425.4,86.5,2.6,0.8,1530,18970,Less than high school,None,Short-term on-the-job training
"Law teachers, postsecondary",25-1112,20,23.5,3.5,17.6,,6.5,99950,Doctoral or professional degree,None,None
Information and record clerks,43-4000,5412.6,5911.3,498.7,9.2,0.6,1951.9,29710,,,
"Geography teachers, postsecondary",25-1064,5.5,6.1,0.6,10.6,,1.4,67820,Doctoral or professional degree,None,None
"Floor layers, except carpet, wood, and hard tiles",47-2042,14.5,16.3,1.9,13,30.6,4.5,35510,High school diploma or equivalent,None,Moderate-term on-the-job training
Audio-visual and multimedia collections specialists,25-9011,9.7,9.6,-0.1,-0.8,3.1,0.8,43350,Bachelor's degree,Less than 5 years,None
Power plant operators,51-8013,41.8,37.2,-4.5,-10.8,,12.9,66130,High school diploma or equivalent,None,Long-term on-the-job training
Data entry and information processing workers,43-9020,324.6,244.2,-80.4,-24.8,2.4,30,30100,,,
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,176.3,192.5,16.2,9.2,3.7,67.1,43820,,,
Counter and rental clerks,41-2021,437.8,484.4,46.6,10.6,0.7,158.5,23130,Less than high school,None,Short-term on-the-job training
"Fabric menders, except garment",49-9093,1,0.9,-0.1,-10.4,19.5,0.2,27020,Less than high school,None,Long-term on-the-job training
Orthotists and prosthetists,29-2091,8.5,11.5,3,35.5,4.9,3.8,62670,Master's degree,None,Internship/residency
"Coating, painting, and spraying machine setters, operators, and tenders",51-9121,83.8,84.2,0.4,0.5,3.9,15.7,30530,High school diploma or equivalent,None,Moderate-term on-the-job training
Network and computer systems administrators,15-1142,366.4,409.4,42.9,11.7,0.6,100.5,72560,Bachelor's degree,None,None
"Education, training, and library occupations",25-0000,9115.9,10131.7,1015.8,11.1,2,2896.9,46020,,,
Subway and streetcar operators,53-4041,9,9.6,0.6,6.5,,3.3,62730,High school diploma or equivalent,None,Moderate-term on-the-job training
Carpenters,47-2031,901.2,1119.4,218.2,24.2,36.1,329.2,39940,High school diploma or equivalent,None,Apprenticeship
Automotive and watercraft service attendants,53-6031,109.5,129.3,19.8,18.1,0.9,51.2,20140,Less than high school,None,Short-term on-the-job training
Tax preparers,13-2082,87.6,96.2,8.7,9.9,26.7,26.5,33730,High school diploma or equivalent,None,Moderate-term on-the-job training
Judicial law clerks,23-1012,12.1,12.7,0.5,4.3,4.2,2.5,47120,Doctoral or professional degree,None,None
Medical equipment repairers,49-9062,42.3,55.1,12.8,30.3,15.3,24.6,44570,Associate's degree,None,Moderate-term on-the-job training
"Judges, magistrates, and other judicial workers",23-1020,51.6,52.9,1.3,2.5,2.7,9.8,95360,,,
"Therapists, all other",29-1129,28.8,37.9,9.1,31.7,55.6,12.5,53210,Bachelor's degree,None,None
"Business teachers, postsecondary",25-1011,103.4,118.5,15.2,14.7,0.1,30.7,73660,Doctoral or professional degree,None,None
"Electrical, electronics, and electromechanical assemblers",51-2020,263.2,244.6,-18.6,-7.1,0.3,31.9,29420,,,
Sailors and marine oilers,53-5011,31.9,36.9,5,15.5,,19.3,38190,Less than high school,None,Moderate-term on-the-job training
Slaughterers and meat packers,51-3023,80.7,78.8,-2,-2.4,0.8,19.9,24330,Less than high school,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,130,143.8,13.8,10.6,2.5,33.8,34830,High school diploma or equivalent,None,Moderate-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,119.3,131.6,12.3,10.3,3.5,46.7,46050,High school diploma or equivalent,None,Long-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,947.2,915,-32.2,-3.4,4.5,271,19370,,,
Excavating and loading machine and dragline operators,53-7032,50.7,58.9,8.2,16.2,11,12.3,38290,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Loading machine operators, underground mining",53-7033,3.3,3.3,0,-0.6,11.4,0.3,48420,Less than high school,None,Short-term on-the-job training
Probation officers and correctional treatment specialists,21-1092,90.3,89.3,-0.9,-1,,23.6,48190,Bachelor's degree,None,Short-term on-the-job training
Medical records and health information technicians,29-2071,186.3,227.5,41.1,22.1,0.1,90.4,34160,Postsecondary non-degree award,None,None
"Architects, surveyors, and cartographers",17-1000,182.1,210.3,28.2,15.5,16,70,66380,,,
Food scientists and technologists,19-1012,19.4,21.5,2.1,10.8,15.6,8.5,58070,Bachelor's degree,None,None
"Math and computer teachers, postsecondary",25-1020,105.1,117.6,12.6,12,0.1,28.4,67740,,,
Human resources workers,13-1070,495.6,528.1,32.5,6.6,1.8,123.7,55600,,,
Gaming dealers,39-3011,100.3,111.7,11.4,11.4,1.4,28.7,18630,High school diploma or equivalent,None,Short-term on-the-job training
Other personal care and service workers,39-9000,3302.5,4179.3,876.8,26.5,15.5,1485.9,20630,,,
"Plumbers, pipefitters, and steamfitters",47-2152,386.9,469.2,82.3,21.3,10.5,130.5,49140,High school diploma or equivalent,None,Apprenticeship
Parking lot attendants,53-6021,128.3,137.6,9.3,7.3,0.1,70.9,19540,Less than high school,None,Short-term on-the-job training
Stock clerks and order fillers,43-5081,1807.2,1801.2,-6,-0.3,0.4,546,22050,Less than high school,None,Short-term on-the-job training
Health diagnosing and treating practitioners,29-1000,5004.8,6020.1,1015.3,20.3,4.6,2042.2,73410,,,
Social and community service managers,11-9151,132.9,160.6,27.7,20.8,7,55.1,59970,Bachelor's degree,5 years or more,None
Civil engineers,17-2051,272.9,326.6,53.7,19.7,2.9,120.1,79340,Bachelor's degree,None,None
"Buyers and purchasing agents, farm products",13-1021,14.2,15,0.8,5.9,24.7,3.5,55720,High school diploma or equivalent,None,Long-term on-the-job training
"Protective service workers, all other",33-9099,82.5,89.6,7.1,8.6,,63.6,30460,High school diploma or equivalent,None,Short-term on-the-job training
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,35,31.9,-3,-8.6,0.4,6.7,29720,High school diploma or equivalent,None,Moderate-term on-the-job training
"Mathematical science occupations, all other",15-2099,1.9,2.2,0.3,13.3,33.4,0.7,56120,Bachelor's degree,None,None
Instructional coordinators,25-9031,147.7,166.2,18.5,12.5,4.2,31.1,60050,Master's degree,5 years or more,None
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,69,71.3,2.3,3.4,0.6,16.3,52650,Postsecondary non-degree award,None,Long-term on-the-job training
Dietetic technicians,29-2051,25.1,29.6,4.5,18,,7,26260,Associate's degree,None,None
Accountants and auditors,13-2011,1275.4,1442.2,166.7,13.1,6.7,544.2,63550,Bachelor's degree,None,None
"Legal support workers, all other",23-2099,57.3,59,1.8,3.1,10.9,11.1,52660,High school diploma or equivalent,None,Short-term on-the-job training
Pipelayers,47-2151,48.5,58.6,10.1,20.8,8.4,16.1,36180,Less than high school,None,Short-term on-the-job training
"Education teachers, postsecondary",25-1081,79.3,90.9,11.6,14.6,0.1,23.5,59350,Doctoral or professional degree,None,None
Crossing guards,33-9091,71.4,74.5,3.1,4.3,,13.9,23910,High school diploma or equivalent,None,Short-term on-the-job training
"Sewers, hand",51-6051,11.1,10,-1,-9.3,48.5,1.2,22820,Less than high school,None,Moderate-term on-the-job training
Fashion designers,27-1022,22.3,21.7,-0.7,-3,25.3,5.9,62860,Bachelor's degree,None,None
Physical therapist assistants and aides,31-2020,121.4,170.8,49.4,40.7,0.5,76.3,39430,,,
Mine cutting and channeling machine operators,47-5042,7.1,7.3,0.2,2.7,4.4,1.5,47950,High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers and precious stone and metal workers,51-9071,32.7,29.5,-3.2,-9.8,32.6,6.7,35350,High school diploma or equivalent,None,Long-term on-the-job training
Logging equipment operators,45-4022,30,30.6,0.6,2,19.8,5.2,33380,High school diploma or equivalent,None,Moderate-term on-the-job training
Industrial engineers,17-2112,223.3,233.4,10.1,4.5,0.6,75.4,78860,Bachelor's degree,None,None
Exercise physiologists,29-1128,6,6.5,0.6,9.2,,1.3,44770,Bachelor's degree,None,None
Librarians,25-4021,148.4,159.4,11,7.4,,44.4,55370,Master's degree,None,None
Shoe and leather workers and repairers,51-6041,8.7,7.4,-1.2,-14,33.6,1.4,23950,High school diploma or equivalent,None,Moderate-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,659.1,721.2,62.1,9.4,0.6,230.1,25050,,,
Motorcycle mechanics,49-3052,16.8,17.8,1,6.1,11.4,4.6,33140,High school diploma or equivalent,None,Long-term on-the-job training
Environmental engineering technicians,17-3025,19,22.5,3.5,18.4,,7.4,45350,Associate's degree,None,None
Geological and petroleum technicians,19-4041,15.8,18.2,2.4,15.1,,8.1,52700,Associate's degree,None,Moderate-term on-the-job training
Medical equipment preparers,31-9093,51.6,62,10.4,20.3,1.2,20.3,30820,High school diploma or equivalent,None,Moderate-term on-the-job training
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,92.7,78.5,-14.2,-15.3,91.9,9.3,21470,High school diploma or equivalent,None,Short-term on-the-job training
Fitness trainers and aerobics instructors,39-9031,267,300.5,33.5,12.5,9.3,65,31720,High school diploma or equivalent,None,Short-term on-the-job training
Sewing machine operators,51-6031,161.4,119.7,-41.7,-25.8,12,7.7,21270,Less than high school,None,Short-term on-the-job training
Gaming managers,11-9071,4.8,5.2,0.4,7.5,6.4,1.4,65220,High school diploma or equivalent,Less than 5 years,None
Protective service occupations,33-0000,3325.3,3588.3,263,7.9,0.6,1146.8,36620,,,
Farm equipment mechanics and service technicians,49-3041,35.8,39.2,3.4,9.5,4.3,13.8,34760,High school diploma or equivalent,None,Long-term on-the-job training
"Social work teachers, postsecondary",25-1113,12.4,14,1.6,13.1,,3.5,63250,Doctoral or professional degree,None,None
"Environmental scientists and specialists, including health",19-2041,90,103.2,13.2,14.6,2.2,39.7,63570,Bachelor's degree,None,None
Appraisers and assessors of real estate,13-2021,83.7,88.4,4.7,5.6,27.3,12.1,49540,Bachelor's degree,None,Long-term on-the-job training
Biochemists and biophysicists,19-1021,29.2,34.6,5.4,18.6,3.7,13.7,81480,Doctoral or professional degree,None,None
Funeral attendants,39-4021,32.4,32.9,0.5,1.4,1.5,7.4,22610,High school diploma or equivalent,None,Short-term on-the-job training
Bartenders,35-3011,551.1,616.7,65.6,11.9,1.2,269.4,18900,Less than high school,None,Short-term on-the-job training
